Total tags hit: 800
Tag,Counts: 
SV_P5,44
Untagged,200
heartbeat,69
sv_P1,58
auth,61
sv_P9,60
email,52
sv_P2,47
sv_P6,65
SV_P3,45
sv_P4,49
data_transfer,46
sv_P8,54
control,55
sv_P7,51
payload,44


Total port protocol combinations hits: 800
Port,Protocol,Count: 
16592,igmp,1
17254,tcp,1
18772,st,1
35698,tcp,1
31266,rdp,1
55236,egp,1
42639,igmp,1
57662,udp,1
41038,udp,1
44135,dsr,1
49247,egp,1
55635,igmp,1
34868,egp,1
36745,xnet,1
58869,rdp,1
64295,tcp,1
63934,udp,1
23746,st,1
42628,tcp,1
14769,egp,2
27194,udp,1
57574,igmp,1
22103,tcp,1
48476,egp,1
40837,udp,1
12161,st,1
6135,tcp,1
3688,udp,1
12143,xnet,1
36395,dsr,1
1783,rdp,1
32339,rdp,1
44807,udp,1
8447,tcp,1
13271,egp,1
38567,dsr,1
13199,tcp,1
61553,egp,1
1315,icmp,1
3252,igmp,1
58594,tcp,1
34586,igmp,1
39617,rdp,1
20997,dsr,1
24866,udp,1
31998,dsr,1
61784,xnet,1
31947,igmp,1
34928,egp,1
47906,rdp,1
22882,igmp,1
57313,xnet,1
29515,dsr,1
48661,rdp,1
7488,dsr,1
12229,igmp,1
10700,egp,1
1248,egp,1
23844,egp,1
55606,st,1
60087,rdp,1
53916,xnet,1
6718,rdp,1
58072,xnet,1
34939,icmp,1
11023,tcp,1
39987,udp,1
59460,icmp,1
6202,egp,1
23606,dsr,1
29087,udp,1
32504,tcp,1
42490,rdp,1
28244,egp,1
25768,tcp,1
58095,icmp,1
5391,egp,1
26650,xnet,1
21863,xnet,1
48478,dsr,1
55870,st,1
26728,tcp,1
27513,udp,1
18381,egp,1
593,icmp,1
3353,egp,1
54751,icmp,1
20677,udp,1
21457,rdp,1
57485,xnet,1
34239,xnet,1
6900,rdp,1
8238,rdp,1
3709,egp,1
8630,icmp,1
43820,tcp,1
7239,dsr,1
58534,igmp,1
63822,egp,1
13722,xnet,1
59916,udp,1
6087,rdp,1
50758,xnet,1
53033,egp,1
12098,tcp,1
29427,icmp,1
50777,st,1
57542,tcp,1
3779,icmp,1
14907,tcp,1
62974,st,1
43094,udp,1
46047,udp,1
44361,st,1
55281,udp,1
40339,igmp,1
58045,dsr,1
46119,egp,1
30726,icmp,1
13696,tcp,1
2714,dsr,1
30125,udp,1
58864,udp,1
27271,icmp,1
10106,igmp,1
51629,st,1
56238,icmp,1
12768,tcp,1
2281,udp,1
7328,tcp,2
18053,xnet,1
229,icmp,1
33352,st,1
49285,dsr,1
27146,dsr,1
47842,tcp,1
57827,icmp,1
40423,icmp,1
63575,egp,1
50075,dsr,1
34308,egp,1
3752,st,1
12623,icmp,1
28187,igmp,1
63986,icmp,1
50116,xnet,1
1006,xnet,1
31450,igmp,1
42434,rdp,1
28140,st,1
41964,igmp,1
53189,udp,1
52509,udp,1
23704,rdp,1
22501,xnet,1
31015,igmp,1
16691,igmp,1
58171,rdp,1
45857,tcp,1
57810,tcp,1
16314,icmp,1
17222,rdp,1
5180,egp,1
7690,st,1
21902,st,1
34949,dsr,1
64828,egp,1
49406,udp,1
51661,icmp,1
54444,xnet,1
16747,dsr,1
44369,rdp,1
57942,tcp,1
30952,egp,1
45118,tcp,1
37239,dsr,1
2176,dsr,1
61778,rdp,1
29112,dsr,1
17921,st,1
51383,igmp,1
54853,egp,1
45829,udp,1
22927,st,1
5741,icmp,1
9867,icmp,1
33268,icmp,1
43586,tcp,1
44314,tcp,1
45729,icmp,1
51809,st,1
23212,xnet,1
36951,rdp,1
2183,icmp,1
53525,xnet,1
27562,egp,1
482,st,1
28026,st,1
55163,tcp,1
2200,igmp,1
6446,udp,1
6329,xnet,1
48981,udp,1
49880,st,1
31334,rdp,1
42880,icmp,1
42106,st,1
51122,st,1
58668,igmp,1
20897,icmp,1
34049,egp,1
14443,icmp,1
39987,rdp,1
51211,rdp,1
15941,egp,1
2539,tcp,1
20857,icmp,1
14173,dsr,1
50045,egp,1
39667,igmp,1
59307,udp,1
45119,tcp,1
48928,igmp,1
52242,rdp,1
45673,xnet,1
46242,egp,1
31601,xnet,1
62627,icmp,1
29188,egp,1
15838,igmp,1
27460,xnet,1
16877,igmp,1
63316,rdp,1
22698,igmp,1
39482,icmp,1
26527,igmp,1
63204,egp,1
33877,st,1
14668,xnet,1
53458,tcp,1
59103,icmp,1
47266,dsr,1
14956,rdp,1
50248,tcp,1
3827,dsr,1
14375,tcp,1
50672,icmp,1
43840,udp,1
33834,egp,1
58276,xnet,1
34288,dsr,1
30299,tcp,1
42754,egp,1
54542,dsr,1
32191,st,1
40385,udp,1
59908,igmp,1
37211,udp,1
34000,igmp,1
60441,igmp,1
51185,st,1
1050,tcp,1
57390,st,1
19476,rdp,1
37392,udp,1
45800,rdp,1
39744,rdp,1
16395,st,1
29108,rdp,1
40706,egp,1
27440,tcp,1
57999,igmp,1
40317,xnet,1
7926,udp,1
27800,xnet,1
17370,xnet,1
170,udp,1
42281,egp,1
38399,tcp,1
38230,rdp,1
807,egp,1
62309,icmp,1
59602,igmp,1
16560,egp,1
46835,udp,1
57773,tcp,1
29028,rdp,1
33358,udp,1
37761,xnet,1
32289,tcp,1
